0,0,0
85,85,85
105,105,105
50,20,20
60,20,20
128,128,128
205,92,92
112,28,28
178,34,34
179,27,27
192,192,192
244,194,194
245,245,245
128,0,0
164,0,0
204,0,0
255,0,0
255,92,92
255,250,250
255,255,255
255,8,0
255,105,97
227,66,52
255,28,0
121,68,59
138,51,36
194,59,34
152,105,96
205,91,69
226,114,91
255,90,54
152,129,123
255,56,0
233,116,81
255,140,105
233,150,122
255,127,80
226,88,34
203,65,11
183,65,14
109,53,26
192,64,0
255,153,102
61,43,31
251,206,177
255,103,0
255,117,24
210,105,30
237,201,175
204,85,0
255,245,238
160,120,90
72,60,50
131,105,83
237,135,45
184,115,51
101,67,33
205,127,50
229,170,112
112,66,20
204,119,34
150,75,0
255,127,0
123,63,0
130,102,68
193,154,107
237,145,33
242,133,0
255,140,0
225,169,95
222,184,135
227,168,87
250,214,165
255,179,71
153,101,21
138,121,93
195,176,145
247,231,206
255,168,18
245,222,179
228,155,15
255,167,0
255,229,180
229,228,226
150,113,23
218,165,32
184,134,11
145,129,81
194,178,128
244,196,48
255,191,0
240,234,214
255,209,42
255,219,88
243,229,171
255,248,220
240,220,130
250,240,190
233,214,107
181,166,66
236,213,64
247,233,142
255,223,0
228,217,111
251,236,93
240,225,48
228,208,10
189,183,107
255,239,0
255,253,208
252,247,94
238,230,0
255,247,0
230,226,0
132,132,130
207,207,196
245,245,220
253,253,150
128,128,0
255,255,49
255,255,0
255,255,240
209,226,49
223,255,0
75,83,32
164,198,57
141,182,0
191,255,0
65,72,51
167,252,0
85,107,47
178,236,93
124,252,0
120,134,107
135,169,107
147,197,114
102,255,0
133,187,101
19,136,8
0,128,0
119,221,119
172,225,175
178,190,181
115,134,120
3,192,60
163,193,173
80,200,120
0,255,111
1,68,33
23,114,69
0,66,37
0,107,60
1,50,32
0,168,107
62,180,137
127,255,212
26,36,33
0,204,153
0,117,94
1,121,111
48,213,200
8,232,222
47,79,79
0,128,128
0,139,139
0,255,255
231,254,255
0,123,167
174,198,207
135,206,235
137,207,240
155,221,255
54,69,79
93,138,168
59,68,75
83,104,120
70,130,180
113,166,210
240,248,255
8,69,126
161,202,241
0,51,102
49,140,231
0,127,255
153,186,221
0,33,71
0,46,99
15,77,146
119,158,203
21,96,189
0,71,171
96,130,182
91,146,229
0,35,102
100,149,237
0,51,153
8,37,103
0,47,167
42,82,190
146,161,207
140,146,172
25,25,112
0,0,128
0,0,139
0,0,156
0,0,255
204,204,255
248,248,255
18,10,143
196,195,208
150,111,214
115,79,150
105,53,156
191,148,228
143,0,255
181,126,220
209,159,232
148,0,211
179,158,181
139,0,139
255,0,255
203,153,201
142,69,133
112,41,99
189,51,164
93,57,84
207,113,175
251,204,231
97,64,81
135,38,87
255,0,127
244,154,194
224,17,95
227,11,93
255,240,245
222,93,131
231,84,128
222,49,99
86,3,25
252,142,172
128,0,32
195,33,72
255,209,220
220,20,60
229,43,80
255,183,197
255,193,204
150,0,24
196,30,58
255,192,203
227,0,34
101,0,11
152,119,123
204,78,92
137,63,69
227,38,54
206,22,32
215,59,62
